Dialogue ID,Dialogue,Character Name,Banter
7242,"Lily and James put their faith in the wrong person. Rather like you, Severus.",Albus Dumbledore,0
7263,You must agree.,Albus Dumbledore,1
243,"I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",Albus Dumbledore,0
7351,"I have always prized my ability to turn a phrase -- words are, in my",Albus Dumbledore,0
1445,Yes.,Albus Dumbledore,1
1369,"The truth. Tell them Hogwarts is no longer safe. It is as we feared, Minerva. The Chamber of Secrets has indeed been opened again.",Albus Dumbledore,0
7338,True. But ask yourself this: were you calling them? Or were they calling you?,Albus Dumbledore,0
4699,"Wand out, Harry.",Albus Dumbledore,0
2192,Not a single professor inside this castle would help Sirius Black enter it. I'm quite convinced the castle is safe... and I'm more than willing to send the students back to their houses.,Albus Dumbledore,0
1804,"And now, Mr. Weasley, if you would, have an owl deliver these release papers to Azkaban? I believe we- we want our gamekeeper back. Harry first, I want to thank you, Harry. You must have shown me real loyalty down in the Chamber. Nothing but that could have called Fawkes to you. And, um second, I sense that something is troubling you. Am I right, Harry?",Albus Dumbledore,0
2178,"Dear lady, who did this to you?",Albus Dumbledore,0
2186,I didn't really expect him to linger.,Albus Dumbledore,1
4939,And what of your activities outside the classroom?  Do they bring you satisfaction?,Albus Dumbledore,0
3478,"Today we acknowledge a really terrible loss. Cedric Diggory was as you all know, exceptionally hard working, intricately fair minded. And most importantly a fierce fierce friend. I think therefore you have the right to know exactly how he died. You see, Cedric Diggory was murdered by Lord Voldemort. The ministry of magic does not wish me to tell you this. But not to do so I think would be an insult to his memory. Now the pain we all feel at this dreadful loss reminds me, reminds us that while we may come from different places and speak in different tongues, our hearts beat as one. In light of recent events the bonds of friendship we made this year will be more important than ever. Remember that and Cedric Diggory will not have died in vain, you remember that. And we'll celebrate a boy who was kind and honest and brave and true right to the very end.",Albus Dumbledore,0
4956,As you wish.,Albus Dumbledore,1
7324,"Certain? No. Little is certain in this world, Harry. Call it an educated guess.",Albus Dumbledore,0
2184,Very good.,Albus Dumbledore,1
2180,"Secure the castle, Mr. Filch. The rest of you, to the Great Hall.",Albus Dumbledore,0
7353,"I've never put much stock in miracles, Harry. On the other hand, I can attest wholly to the extensive advantages of a related phenomenon.",Albus Dumbledore,0
7344,On.,Albus Dumbledore,1
7258,How long?,Albus Dumbledore,1
1,I should have known that you would be here...Professor McGonagall.,Albus Dumbledore,0
4587,Do you remember your first year here? When you lay in the hospital wing fresh from your confrontation with Voldemort?,Albus Dumbledore,0
437,"SILLLLLEEENNNNCEEEEE!  Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons.",Albus Dumbledore,0
2601,Scabbers?,Albus Dumbledore,1
1268,"We will be able to cure her, Argus. As I understand it, Madame Sprout has a very healthy growth of Mandrakes. When matured, a potion will be made which will revive Mrs. Norris. And in the meantime, I strongly recommend caution to all.",Albus Dumbledore,0
5642,Trust me.,Albus Dumbledore,1
4147,"Ah, yes. I was wondering when we'd hit that little snag.",Albus Dumbledore,0
7346,True.,Albus Dumbledore,1
7243,The boy survives.,Albus Dumbledore,1
4553,"Harry, I owe you this explanation, to show you the failings of an old man.",Albus Dumbledore,0
4053,What can I do for you?,Albus Dumbledore,1
3301,I want all the judges over here now.,Albus Dumbledore,0
2182,"Ah, thank you.",Albus Dumbledore,1
2940,Did you ask one of the older students to do it for you?,Albus Dumbledore,0
859,"He has enough Elixir to set his affairs in order. But yes, he will die.",Albus Dumbledore,0
5545,Belonged to Voldemort's mother. It was difficult to find and...,Albus Dumbledore,0
3470,We'll get you up in a minute.,Albus Dumbledore,1
2172,"Come on, move.",Albus Dumbledore,1
3383,On the count of three... ONE...,Albus Dumbledore,1
4960,Perhaps they're right.,Albus Dumbledore,1
4557,"Sirius told me you believed there was a snake inside of you. This was Voldemort attempting to manipulate you. To protect you from this, I had you study Occlumency.",Albus Dumbledore,0
4890,"Today, of course, the world knows him by another name.  Which is why, as I stand looking out upon you all tonight, I am reminded of a sobering fact.  Each day, every hour, this very minute perhaps, dark forces attempt to penetrate this castle.  But in the end, their greatest weapon remains... you.",Albus Dumbledore,0
5550,... leaves traces.,Albus Dumbledore,1
7336,Yes.,Albus Dumbledore,1
4988,Yes.,Albus Dumbledore,1
5670,Severus...,Albus Dumbledore,1
5579,You will do so.,Albus Dumbledore,1
2174,Mr. Filch? Round up the ghosts. Tell them to search every painting in the castle to find the Fat Lady.,Albus Dumbledore,0
5648,"Like cursing Katie Bell and hoping she would, in turn, bear a cursed necklace to me?  Like replacing a bottle of mead with one laced with poison.  Forgive me, Draco, but these are attempts so feeble I cannot help but question if your heart has been really in them. I'm curious.  When Voldemort gave you this task, when he asked you to kill me, was it in a whisper?",Albus Dumbledore,0
2948,That doesn't help Alastor. Leave this to you Barty.,Albus Dumbledore,1
2652,It's such a very long name...,Albus Dumbledore,1
2046,"Our Care of Magical Creatures teacher... has decided to retire... in order to spend more time with his remaining limbs. Fortunately, I'm delighted to announce... that his place will be taken by none other... than our own Rubeus Hagrid. Finally, on a more disquieting note... at the request of the Ministry of Magic... Hogwarts will, until further notice, play host to the dementors of Azkaban... until such a time as Sirius Black is captured. The dementors will be stationed at every entrance to the grounds. Now whilst I've been assured... that their presence will not disrupt our day-to-day activities... a word of caution. Dementors are vicious creatures. They'll not distinguish... between the one they hunt and the one who gets in their way. Therefore, I must warn each and every one of you... to give them no reason to harm you. It is not in the nature of a dementor to be forgiving. But you know, happiness can be found... even in the darkest of times... if one only remembers to turn on the light.",Albus Dumbledore,0
4736,Both are waiting for you.,Albus Dumbledore,1
4106,-..-You cannot send them from this,Albus Dumbledore,1
4964,"You can do things, can't you, Tom? Things the other children can't.",Albus Dumbledore,0
5582,Take my arm.,Albus Dumbledore,1
1822,I beg your pardon?,Albus Dumbledore,1
4605,There is a room in the Department of Mysteries which is kept locked at all times. It contains a force so wonderful and yet terrible that it is greater than death itself. It is that power which you have incredible amounts of and of which Voldemort has none.,Albus Dumbledore,0
3791,... which are posted in an extensive list on the door to Mr. Filch's door.,Albus Dumbledore,0
4145,"Quiet, Harry!",Albus Dumbledore,1
4945,What you see before you are memories.  In this case pertaining to one individual:  Voldemort.  Or as he was known then... Tom Riddle.,Albus Dumbledore,0
4935,"Enjoying your classes?  Professor Slughorn, for one, is most impressed with you.",Albus Dumbledore,0
4712,Take matters into their own hands?,Albus Dumbledore,1
3379,and Mr Potter tied for first position they will be the first to enter the maze. Followed by Mr Krum...,Albus Dumbledore,0
3482,"No spell can reawaken the dead Harry I trust you know that. Dark and diffiult times lie ahead. Soon we must all face the choice between what is right what is easy. But remember this, you have friends here. You're not alone.",Albus Dumbledore,0
5310,Why indeed.,Albus Dumbledore,1
3089,"Good day champions. Gather round please. Now you've waited, you've wondered and at last the moment has arrived. The moment only four of you can fully appreciate.",Albus Dumbledore,0
4608,"It is the final burden which I must place on you, Harry.",Albus Dumbledore,0
2929,The Durmstrang champion is ... Viktor Krum!,Albus Dumbledore,1
4979,It is unusual.  But not unheard of.,Albus Dumbledore,1
5661,"Say that again, Draco.  But aloud this time.",Albus Dumbledore,1
853,"What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows.  Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.",Albus Dumbledore,0
7276,"The irony of course, Severus, is that -- in the end -- you and the boy desire the same thing...",Albus Dumbledore,0
5578,And should I tell you to abandon me and save yourself...,Albus Dumbledore,0
861,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. That is one of my more brilliant ideas. And between you and me that's saying something.",Albus Dumbledore,0
7235,"If she means so much to you, surely Lord Voldemort would spare her in exchange for the boy.",Albus Dumbledore,0
5664,"Good evening, Bellatrix.  I think introductions are in order.",Albus Dumbledore,1
1806,"I see. Well, you can speak Parseltongue, Harry. Why? Because Lord Voldemort can speak Parseltongue. If I'm not mistaken, Harry, he transferred some of his powers to you the night he gave you that scar.",Albus Dumbledore,0
7340,That is up to you.,Albus Dumbledore,1
7264,"Yes. You must be the one to kill me, Severus. It is the only way. Only then will the Dark Lord trust you completely.",Albus Dumbledore,0
4951,Perhaps you could give me an example.,Albus Dumbledore,1
2670,How extraordinary.,Albus Dumbledore,1
3362,"Curiosity's not a sin Harry, but you should exercise caution. It's a pensieve, useful if like me you find your mind a wee bit stretched. It allows me to see what small things I've already seen. You see Harry I've searched and searched for something, some small detail. Something I might have overlooked, something that would explain why these terrible things have happened. Every time I get close to an answer it slips away, it's maddedning.",Albus Dumbledore,0
5640,Hide yourself below.  And do not speak or show yourself without my permission.  No matter what.,Albus Dumbledore,0
1139,"I am well aware of our bylaws, Severus, having written quite a few of them myself. However, as head of Gryffindor house, it is for Professor McGonagall to determine the appropriate action.",Albus Dumbledore,0
4139,"Well, Minister. You've caught me.",Albus Dumbledore,1
5627,Water!,Albus Dumbledore,1
3292,You may begin at the start of the cannon.,Albus Dumbledore,0
1538,Riddle! Come.,Albus Dumbledore,1
4065,What news?,Albus Dumbledore,1
3481,Priori Incantatem. You saw your parents that night didn't you? They reappeared.,Albus Dumbledore,0
4933,So.  How are you?,Albus Dumbledore,1
4125,"In point of fact, when young Potter met those students it was not illegal.",Albus Dumbledore,0
4542,"There is no shame in feeling pain, Harry. It is your greatest strength...",Albus Dumbledore,0
3380,"The first person to touch the cup will be the winner. I've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. Contestants, gather round.",Albus Dumbledore,0
7322,"You were the seventh Horcrux, Harry; the Horcrux he never meant to make.",Albus Dumbledore,0
870,"Another year, gone! And now, as I understand it, the house cup needs awarded and the points stand thus. In fourth place: Gryffindor, with 312 points!  In third place: Hufflepuff, with 352 points!  Second: Ravenclaw, with 426 points!  And in first place, with 472 points: Slytherin house!  Yes, well done Slytherin, well done Slytherin. However, recent events must be taken into account and I have a few last minute points to award.  First, to Miss Hermione Granger, for the cool use of intellect while others were in grave peril: fifty points!  Second, to Mr Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years: fifty points!  And third, to mister Harry Potter, for pure love and outstanding courage, I award Gryffindor house: sixty points!",Albus Dumbledore,0
4944,"... I was merely curious. In any event, I'm sure you're wondering why I've summoned you here tonight.  The answer lies here.",Albus Dumbledore,0
1547,Is there something you wish to tell me?,Albus Dumbledore,0
2878,"My dear old friend, thanks for coming.",Albus Dumbledore,1
5645,"I often talk aloud to myself.  I find it extraordinarily useful. That which sounds sane at a whisper can seem utterly mad when said for all the world to hear. Haven't been whispering to yourself, have you, Draco?",Albus Dumbledore,0
5587,"One wintry afternoon, he lured two younger classmates to this cave. What happened is unclear.  But this much is known:  the children were damaged.",Albus Dumbledore,0
4552,It is my fault Sirius died tonight.,Albus Dumbledore,0
1808,"Not intentionally, but yes.",Albus Dumbledore,1
7272,"But this is touching, Severus. Don't tell me you've grown to care for the boy?",Albus Dumbledore,0
7313,"Harry. You wonderful boy. You brave, brave man. Let us walk.",Albus Dumbledore,0
5629,Go...,Albus Dumbledore,1
1136,They are not.,Albus Dumbledore,1
857,"Relax, dear boy. The stone has been destroyed. My friend Nicholas and I had a little chat and agreed it was best all around.",Albus Dumbledore,0
1828,"Only, this time, he chose to act through somebody else, by means of this.",Albus Dumbledore,0
3378,Earlier today Professor Moody placed the tri-wizards cup deep within the maze. Only he knows its exact position. Now as Mr Diggory...,Albus Dumbledore,0
2452,"Yes, that's the... lings you see over there...",Albus Dumbledore,1
1364,There's been another attack.,Albus Dumbledore,0
2210,Arresto momentum!,Albus Dumbledore,1
5576,"Understand what I'm saying. Should I tell you to hide, you must hide.",Albus Dumbledore,0
4984,"No.  I did not.  You see, Professor Slughorn possesses something I desire very dearly. And he will not part with it easily... I'd rather not divulge any more just yet, Harry.  But I promise. In time you will know everything.",Albus Dumbledore,0
7228,"Stand up, Severus. I haven't much time. What message do you bring from Lord Voldemort this time?",Albus Dumbledore,0
4567,"Once he discovered the connection, Voldemort had little difficulty in manipulating you into thinking he had captured Sirius.",Albus Dumbledore,0
4583,"This magic is what your mother gave you when she died. That protection would only work, however, if you were cared for by a blood relative. Your Aunt, Petunia.",Albus Dumbledore,0
2654,"Here we are, minister. Follow me. Now, look there.",Albus Dumbledore,1
4582,I also knew that Voldemort would return one day. I played to his weakness. There is an ancient magic which Voldemort has always underestimated.,Albus Dumbledore,0
3090,What are you doing here Miss Granger?,Albus Dumbledore,1
3790,"I beg a few moments of your attention, as I have a few start of term announcements. Right off, our caretaker, the good Mr. Filch, has reminded me for what he says is the four-hundred and sixty-second time that he had an annually updated list of various banned items, usually introduced by our humour experts Fred and George Weasley...",Albus Dumbledore,0
3477,Perhaps. Personally I've never had much time for heroes.,Albus Dumbledore,0
4559,"Yes. I thought he could overcome his feelings towards your father, but I was wrong. Some wounds cut too deep to be healed.",Albus Dumbledore,0
4069,"Minerva, the rest of the Weasleys will need to be awoken.",Albus Dumbledore,0
2723,Well?,Albus Dumbledore,1
4541,"You forget that Sirius was my friend too. You are not the only person on this earth capable of feelings, Harry.",Albus Dumbledore,0
7248,"My word that I shall never reveal the best of you, Severus? If you insist.",Albus Dumbledore,0
12,The only family he has.,Albus Dumbledore,1
2928,"Sit down please. And now the moment you've all been waiting for, the champions selection!",Albus Dumbledore,0
1545,"I understand Tom, but I'm afraid Headmaster Dippet may have no choice.",Albus Dumbledore,0
855,Fine. They're both just fine.,Albus Dumbledore,1
7260,"Well, this makes matters much more straightforward.",Albus Dumbledore,1
5650,Then I shall make it easy for you.,Albus Dumbledore,1
7,"Ah, Professor, I would trust Hagrid with my life.",Albus Dumbledore,0
5537,This is beyond anything I imagined.  In my life I have seen things that are unimaginably horrific.  I know now... you will see worse.,Albus Dumbledore,0
1814,Ah- it would take a true Gryffindor to pull that out of the hat.,Albus Dumbledore,0
2869,"Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them.",Albus Dumbledore,0
4891,"Just something to keep in mind. Now, off to bed.  Pip pip!",Albus Dumbledore,0
5659,"A passage, yes.  Very good. I once knew a boy years ago who made all the wrong choices.  Let me help you, Draco.",Albus Dumbledore,0
1266,"Innocent until proven guilty, Severus.",Albus Dumbledore,0
5617,"Too much... I can't... take it... I want... to die... kill... kill me... KILL ME, HARRY!",Albus Dumbledore,0
5549,"True.  But magic, especially Dark magic...",Albus Dumbledore,0
1253,"Argus! Argus, I Everyone will proceed to their dormitories immediately. Everyone except you three.",Albus Dumbledore,0
15,"There, there, Hagrid. It's not really goodbye, after all.",Albus Dumbledore,1
7246,The Dark Lord will return. And the boy will be in terrible danger when he does.,Albus Dumbledore,0
2864,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff.",Albus Dumbledore,0
4561,"I would trust Severus Snape with my life, Harry. You have never recovered from your mistrust of him in your first year.",Albus Dumbledore,0
7266,There will come a time when Harry Potter must be told something. But you must wait until Voldemort is at his most vulnerable.,Albus Dumbledore,0
2930,The champion from Beauxbatons... Fleur Delacour,Albus Dumbledore,0
2884,Silence!,Albus Dumbledore,1
5591,"Oh, no, Harry.  Your blood is much more precious than mine.",Albus Dumbledore,0
4141,"Quite correct, Cornelius.",Albus Dumbledore,1
4563,"Again, some wounds run too deep to be healed, Harry. Severus and Sirius never liked each other at school. This has never changed.",Albus Dumbledore,0
5541,"They can be anything.  The most commonplace of objects.  A ring, for example.  Or a book...",Albus Dumbledore,0
5570,"At times I forget how much you've grown.  At times I still see the small boy from the cupboard. Forgive my mawkishness, Harry.  I am an old man.",Albus Dumbledore,0
4958,No.  I am a Professor.,Albus Dumbledore,1
7350,'Help will always be given at Hogwarts to those who ask for it.',Albus Dumbledore,0
5624,Water. Water...,Albus Dumbledore,1
7231,How much did you relay?,Albus Dumbledore,1
3311,Attention! Attention! The winner is... Mr Diggory!,Albus Dumbledore,0
5405,"Ah, to be young and feel love's keen sting.  Come, everyone, I think Mr. Weasley is well tended.",Albus Dumbledore,0
4571,Kreacher has been serving two masters for some months now.,Albus Dumbledore,0
5601,Yes.,Albus Dumbledore,1
5552,Yes.  And I think... perhaps... I may have found another.  But this time I cannot hope to destroy it alone.,Albus Dumbledore,0
4886,"The very best of evenings to you! First off, please join me in welcoming the newest member of our staff, Horace Slughorn.",Albus Dumbledore,0
5589,"In order to gain passage, payment must be made, payment intended to weaken any intruder.",Albus Dumbledore,0
2867,Igor.,Albus Dumbledore,1
4159,Lay back down. They must not think we have had time to talk.,Albus Dumbledore,0
3327,"But surely that is what's right, no matter what others think.",Albus Dumbledore,0
4888,"Now, as you know, each and every one of you was searched upon your arrival tonight.  You have a right to know why.",Albus Dumbledore,0
3369,Cast them away.,Albus Dumbledore,1
4064,"Naturally, naturally.",Albus Dumbledore,1
4123,"I'm not sure that's true, Professor.",Albus Dumbledore,1
2194,"Perhaps. But for now, let him sleep. For in dreams, we enter a world that's entirely our own. Let them swim in the deepest ocean or glide over the highest cloud.",Albus Dumbledore,0
5593,It's there.  The only question is how do we get to it?,Albus Dumbledore,0
3464,Harry get away from there!,Albus Dumbledore,0
4531,"Minister, you will order the removal of Dolores Umbridge from my school.",Albus Dumbledore,0
5616,My fault.  It's all my fault...,Albus Dumbledore,0
2177,Keep moving!,Albus Dumbledore,1
5304,Confused?  I would be surprised if you weren't.,Albus Dumbledore,0
7334,"You are the worthy possessor of the Hallows, Harry, not me. I was fit to own the Elder Wand, because I took it not for gain, but to save others from it. But I took the Stone because I longed to recall someone who has long been at peace and for that I paid with my life.",Albus Dumbledore,0
4514,"There are other ways to destroy a man, Tom.",Albus Dumbledore,0
2931,The Hogwarts champion... Cedric Diggory.,Albus Dumbledore,0
4588,Do you remember what you asked me that night?,Albus Dumbledore,1
5636,Speak to no one else... I... I shall wait here...,Albus Dumbledore,0
5657,Ingenious.  Let me guess.  It has a sister.  A twin.,Albus Dumbledore,0
5306,"This is perhaps the most important memory I've collected.  It's also a lie. This memory has been tampered with.  In this case by the person whose memory it is, our friend Professor Slughorn.",Albus Dumbledore,0
4519,"Stay where you are, Harry!",Albus Dumbledore,1
4524,"If you and your men will proceed to the Death Room, you will find several Death Eaters which I and some others have apprehended.",Albus Dumbledore,0
4537,Thank you...,Albus Dumbledore,1
5574,"The place to which we journey tonight is exceedingly dangerous, Harry.  I promised that you could accompany me and I stand by that promise.  But there is a condition:  You must obey any command I give you -- without question.",Albus Dumbledore,0
4725,Mind if I take this?  I do love knitting patterns.,Albus Dumbledore,0
1439,"Ah, fascinating creatures, phoenixes. They can carry immensely heavy loads, and their- their tears have healing powers.",Albus Dumbledore,0
4070,Phineas.,Albus Dumbledore,1
3299,Harry!,Albus Dumbledore,1
5395,To whom might I ask?,Albus Dumbledore,1
5652,"Well done, Draco.  But I warn you. Killing is not nearly as easy.",Albus Dumbledore,0
5632,"I am not worried, Harry.  I am with you.",Albus Dumbledore,0
5608,"Because I am much older, much cleverer... and much less valuable. Your good health, Harry.",Albus Dumbledore,0
1812,"Exactly, Harry! Exactly! Which makes you different from Voldemort. It is not our abilities that show what we truly are. It is our choices. If you want proof why you belong in Gryffindor, then I suggest that you look more closely at this. Be careful.",Albus Dumbledore,0
2872,"Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks.",Albus Dumbledore,0
4527,"If you insist on trying to arrest me, I am perfectly willing demonstrate how useless such an attempt will be.",Albus Dumbledore,0
4971,"I think there is something trying to get out of your wardrobe, Tom. Open it.  Open.  It.",Albus Dumbledore,0
14,Exactly. He's better off growing up away from all that. Until he is ready.,Albus Dumbledore,0
5315,"This memory is everything, Harry. Without it, we are blind. Without it, we leave the fate of our world to chance.  You have no choice. You must not fail.",Albus Dumbledore,0
7229,Is this about the Prophecy?,Albus Dumbledore,0
3438,Harry! Harry!,Albus Dumbledore,1
3366,Have there been other dreams like this?,Albus Dumbledore,0
3695,"Witness for the Defence, Albus Percival Wulfric Brian Dumbledore.",Albus Dumbledore,1
4052,"Professor McGonagall, and...ah...",Albus Dumbledore,1
267,Let the feast...begin.,Albus Dumbledore,1
5572,"Like your mother, you are unfailingly kind.",Albus Dumbledore,0
2677,"Well, search the skies, if you must, minister. Meanwhile, I'd like a nice cup of tea or a large brandy. Oh, executioner, your services are no longer required. Thank you.",Albus Dumbledore,0
2190,Many. Each as unlikely as the next.,Albus Dumbledore,1
1443,Hagrid! Relax. I do not believe that Harry attacked anyone.,Albus Dumbledore,0
4887,"Professor Slughorn, I'm happy to say, has agreed to resume his old post of Potions master.  Meanwhile the post of Defense Against the Dark Arts will be assumed by Professor Snape.",Albus Dumbledore,0
3469,Now we know who's been stealing it from your store Severus.,Albus Dumbledore,0
7269,There's a reason Harry can speak with snakes. There's a reason he can look into Lord Voldemort's mind. A part of Lord Voldemort lives inside him.,Albus Dumbledore,0
4693,"Rather unpleasant to behold, isn't it?  The tale is thrilling if I do say so myself, but I'm afraid now is not the time to tell it.  Take my arm.",Albus Dumbledore,0
4105,"Oh, I agree with you, Professor Umbridge. You do have the power to dismiss my teachers. However...",Albus Dumbledore,0
4700,Lumos...,Albus Dumbledore,1
4533,"I will return here later tonight, after I have seen to Harry. It should not take long. He taps the Golden centaur head.",Albus Dumbledore,0
4529,"I will explain everything, Minister. Just as soon as I return Harry to school.",Albus Dumbledore,0
4068,Good.,Albus Dumbledore,1
2462,"Now, now, Hagrid. Now, come on. All right. It'll be all right.",Albus Dumbledore,0
3332,"Oh not necessary Harry the minister and I are done. I'll be back in a moment. Minister, after you. Harry do feel free to indulge in a liquorice snack in my absence, but I have to warn you they're a little bit sharp.",Albus Dumbledore,0
3461,Are you Alastor Moody? Are ya?,Albus Dumbledore,1
7239,"And should I do so, what will you give me in return, Severus?",Albus Dumbledore,0
3349,The counsel is very much aware you have given evidence on this matter. Severus Snape was indeed a deatheater and prior to Lord Voldemort's downfall turned spy for us at great personal risk. Today he's no more a deatheater than I am.,Albus Dumbledore,0
5,Hagrid is bringing him.,Albus Dumbledore,1
2647,"Minister, I really think I should sign as well.",Albus Dumbledore,0
5599,"Only recreationally.  You see, I believe one creates one's own luck.",Albus Dumbledore,0
