Dialogue ID,Dialogue,Character Name,Banter
1801,"Yes, sir.",Ron Weasley,1
4369,Never again...,Ron Weasley,1
5338,It was on your bed.  The box. Thought I'd try one...,Ron Weasley,0
5901,"Don't tell her I said that. Besides, you've still got the Trace on you.  And there's the wedding...",Ron Weasley,0
6140,They're not Ministry.  They're Snatchers.  They hunt Muggle-borns and blood-traitors for a price.,Ron Weasley,0
1741,Harry! Harry!,Ron Weasley,0
2143,Riddikulus!,Ron Weasley,0
6826,"Couldn't do anything about that bit in the back that's always flipping up, could you? Dead annoying --",Ron Weasley,0
743,"It's for your own good, you know.",Ron Weasley,1
637,We know about the Philosopher's Stone!,Ron Weasley,0
2814,Krum!!!,Ron Weasley,0
4876,Don' you worry.  He'll be 'long soon 'nuff --,Ron Weasley,0
6624,You forgot the water.,Ron Weasley,1
964,Come on.,Ron Weasley,1
6255,"Seems strange, mate.  Dumbledore sends you off to find a load of Horcruxes, but doesn't bother to tell you how to destroy them. Doesn't that bother you?",Ron Weasley,0
6913,I say we jump!,Ron Weasley,1
5924,Dunno.  But something tells me he didn't come to give away the bride.,Ron Weasley,0
6791,You heard Ollivander. It's Harry's now.,Ron Weasley,0
1474,Bloody hell!,Ron Weasley,1
6204,"Mary.  Go home.  Get the kids. I'll... I'll meet you there.  We have to get out the country, understand?",Ron Weasley,0
2037,"No. I felt weird, though. Like I'd never be cheerful again.",Ron Weasley,0
3203,Because nobody asked her. I would have taken her myself if she weren't so bleeding proud.,Ron Weasley,0
290,"Look at that one, Harry!",Ron Weasley,1
2010,Who do you think that is?,Ron Weasley,1
3666,What does he get a hug for?,Ron Weasley,0
472,"Take a bit of toast, mate, go on.",Ron Weasley,0
2429,"Hermione, no! He's not worth it.",Ron Weasley,0
3194,"Well they're alright. No lace, no dodgy little collar.",Ron Weasley,0
1734,Go on.,Ron Weasley,1
2426,It just got worse.,Ron Weasley,1
1861,"Uhh-um Welcome back, Hermione.",Ron Weasley,0
6938,What's he mean by that?,Ron Weasley,1
3187,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.,Ron Weasley,0
618,"-for his discovery of the 12 uses of Dragon Blood, and his work on alchemy with his partner Nicolas Flamel!",Ron Weasley,0
2167,Serves her right. She was a terrible singer.,Ron Weasley,0
5938,Wicked.,Ron Weasley,1
751,What?!,Ron Weasley,1
6008,"They were after you, mate.  We'd just put everyone in danger going back.",Ron Weasley,0
5896,Going somewhere?,Ron Weasley,1
4883,"Sorting Hat urged us all to be brave and strong in these troubled times -- easy for it to say -- it's a hat, isn't it?  First Years seemed to enjoy it, though. Wankers. Filch give you the wand outside?",Ron Weasley,0
2605,What the bloody hell was that all about?,Ron Weasley,1
7382,He saved your life.,Ron Weasley,0
2313,Thick heads.,Ron Weasley,1
207,"No, thanks, I'm all set.",Ron Weasley,1
5232,"No, you don't understand -- Oh, bloody hell...",Ron Weasley,0
5156,Sure...,Ron Weasley,1
5929,Dumbledore?  And me?  I dunno. I reckon I was just another Weasley to him.  He was always polite --,Ron Weasley,0
1294,"Of course. You heard him! 'You'll be next Mudbloods,'",Ron Weasley,0
5734,C'mon.  Mum's got dinner ready.,Ron Weasley,0
3201,"Hermione of course. Come on Harry, why'd you think she wouldn't tell us who she's coming with?",Ron Weasley,0
6719,Expellliarmus!,Ron Weasley,0
1696,Her skeleton will lie in the chamber forever.' Ginny,Ron Weasley,0
1497,AhemStomachache.,Ron Weasley,1
1119,What's happening?,Ron Weasley,1
4800,But I'm your brother!,Ron Weasley,0
1517,Look at your tail!,Ron Weasley,0
2073,Ancient Runes? Exactly how many classes are you taking?,Ron Weasley,0
663,It's bad.,Ron Weasley,1
4026,So...no giants are coming?,Ron Weasley,0
4023,A month?,Ron Weasley,1
754,Ew! Yuck! Ugh.,Ron Weasley,1
1685,Moaning Myrtle.,Ron Weasley,0
4995,"Really?  Strapping guy like you, you've got a Beater's build, don't you think?  Keeper needs to be agile, quick --",Ron Weasley,0
2162,Probably Neville forgotten the password again.,Ron Weasley,0
1671,"Follow the spiders! Follow the spiders! If Hagrid ever gets out of Azkaban, I'll kill him! I mean, what was the point of sending us in there? What have we found out?",Ron Weasley,0
4880,Looks like his own this time.,Ron Weasley,1
2466,Let's go!,Ron Weasley,1
2219,"Well, you fell off your broom.",Ron Weasley,0
2535,Me?! He's mental!,Ron Weasley,1
1124,Ahh! Ahhhh! Ahh!,Ron Weasley,1
5093,What do you suppose Dean sees in her?  Ginny.,Ron Weasley,0
7122,You do it.,Ron Weasley,1
3197,I smell like my great aunt Tessie. Murder me Harry.,Ron Weasley,0
2473,"Scabbers, you bit me!",Ron Weasley,0
6576,"Well, yeah, of course.  It's massive, isn't it?",Ron Weasley,0
