Dialogue ID,Character Name,Dialogue,Topic
2039,Hermione Granger,"No one was screaming, Harry.",social dynamics
539,Hermione Granger,I know a spell when I see one... Snape wasn't blinking.,magic
397,Hermione Granger,Filch is gone.,hogwarts academics
3273,Hermione Granger,"Sir, the second task is only hours away.",strategy
713,Hermione Granger,What is it?,strategy
2215,Hermione Granger,How are you feeling?,social dynamics
795,Hermione Granger,"What's wrong, Harry?",social dynamics
1323,Hermione Granger,Are you okay?,social dynamics
2722,Hermione Granger,We have to go.,strategy
2696,Hermione Granger,That's great.,social dynamics
600,Hermione Granger,Look at you playing with your cards. Pathetic! Exams are coming.,hogwarts academics
2616,Hermione Granger,This is a Time Turner Harry.,magic
706,Hermione Granger,I've always heard Hogwarts exams were frightful...,hogwarts academics
2432,Hermione Granger,That felt good.,social dynamics
2691,Hermione Granger,A Patronus requires a powerful wizard.,magic
1245,Hermione Granger,The Chamber of Secrets has been opened... written in blood.,threats
353,Hermione Granger,"Harry, no way! ... You don't even know how to fly. What an idiot.",social dynamics
2357,Hermione Granger,Ronald has lost his rat.,magical creatures
785,Hermione Granger,What is that?,strategy
2919,Hermione Granger,It's not going to work.,strategy
2565,Hermione Granger,That looks really painful.,social dynamics
2072,Hermione Granger,Divination is woolly; Ancient Runes is fascinating.,hogwarts academics
473,Hermione Granger,Ron's right Harry. You're gonna need your strength today.,strategy
1289,Hermione Granger,McGonagall is worried. All the teachers are.,social dynamics
606,Hermione Granger,We're to be given quills with anti-cheating spells.,hogwarts academics
1988,Hermione Granger,"Good morning, Mr. Weasley.",social dynamics
744,Hermione Granger,Ow! You stood on my foot!,social dynamics
458,Hermione Granger,Is it...dead?,threats
3122,Hermione Granger,I can't believe it—she's done it again...,social dynamics
2104,Hermione Granger,Hagrid! He needs the hospital!,strategy
2636,Hermione Granger,Fudge is coming. Why aren't we leaving?,strategy
513,Hermione Granger,It's Snape! He's jinxing the broom!,threats
3020,Hermione Granger,Dean was told by Parvati... Hagrid's looking for you.,magical creatures
1291,Hermione Granger,The Heir of Slytherin has returned... who is it?,strategy
1052,Hermione Granger,Come on! Everyone's been worried.,social dynamics
709,Hermione Granger,It's happened before.,strategy
245,Hermione Granger,"Oh, no. Okay, relax.",social dynamics
627,Hermione Granger,"Honestly, don't you two read? Philosopher's Stone is a legendary substance...",strategy
2618,Hermione Granger,Dumbledore wanted us to return.,strategy
2016,Hermione Granger,Seems to be. Why?,strategy
2858,Hermione Granger,Sirius will want to hear about this.,strategy
2486,Hermione Granger,We're in the Shrieking Shack.,strategy
2117,Hermione Granger,Dufftown? That's not far.,strategy
1176,Hermione Granger,Get off me!,social dynamics
228,Hermione Granger,Pleasure. You two better change into your robes... You've got dirt on your nose.,hogwarts academics
2911,Hermione Granger,There's a reason those curses are unforgivable.,threats
801,Hermione Granger,I don't like this. Not at all.,social dynamics
805,Hermione Granger,Now what do we do?,strategy
629,Hermione Granger,It means you'll never die.,threats
2761,Hermione Granger,Are you all right?,social dynamics
787,Hermione Granger,Curious. I've never seen birds like these.,magical creatures
2586,Hermione Granger,Professor Lupin?,hogwarts academics
1381,Hermione Granger,She's a little sensitive.,social dynamics
817,Hermione Granger,"No Ron, you can't! There must be another way!",strategy
1197,Hermione Granger,At least no one on the Gryffindor team had to buy their way in.,hogwarts academics
2482,Hermione Granger,Oh I'm sorry.,social dynamics
792,Hermione Granger,There must be 1000 keys up there!,strategy
824,Hermione Granger,Books and cleverness? There are more important things.,mentoring
399,Hermione Granger,It was locked.,strategy
765,Hermione Granger,Do what I say. Trust me.,strategy
2727,Hermione Granger,What's he talking about Harry?,strategy
317,Hermione Granger,"I've read about those. When the smoke turns red, it means you've forgotten something.",magic
1299,Hermione Granger,The Polyjuice Potion allows transformation.,magic
1307,Hermione Granger,I know. But it's the only plan we've got.,strategy
3269,Hermione Granger,Again obvious—potentially problematic.,strategy
3243,Hermione Granger,These tasks are brutal... I'm scared for you.,threats
3229,Hermione Granger,That's what you think?,social dynamics
1293,Hermione Granger,If you're talking about Malfoy.,social dynamics
3091,Hermione Granger,Sorry I'll just go.,social dynamics
732,Hermione Granger,Now what do we do?,strategy
2366,Hermione Granger,How did it go Hagrid? The hearing?,strategy
3162,Hermione Granger,I won't be going alone—someone asked me.,social dynamics
1452,Hermione Granger,We must make sure Crabbe and Goyle can't interrupt.,strategy
1515,Hermione Granger,It was cat hair. Look at my face!,magic
403,Hermione Granger,"You don't use your eyes, do you? Didn't you see what it was standing on?",strategy
465,Hermione Granger,I went looking for the troll... I'd probably be dead.,threats
2412,Hermione Granger,Do you mind me trying? The Grim possibly.,magical creatures
3245,Hermione Granger,These tasks test you brutally... I'm scared.,threats
2484,Hermione Granger,Where does this go?,strategy
1481,Hermione Granger,Just go! You're wasting time!,strategy
2013,Hermione Granger,It's on his suitcase Ronald.,strategy
2603,Hermione Granger,We know the truth. Please believe us.,social dynamics
3017,Hermione Granger,Ronald would like me to tell you...,strategy
2126,Hermione Granger,Boggarts are shape-shifters.,magical creatures
2713,Hermione Granger,I don't like flying!,social dynamics
2567,Hermione Granger,Madam Pomfrey will fix it.,hogwarts academics
2890,Hermione Granger,Because they are unforgivable...,threats
407,Hermione Granger,"If you two don't mind... killed or worse, expelled!",hogwarts academics
3308,Hermione Granger,Are you alright? You must be freezing!,social dynamics
807,Hermione Granger,What happens now?,strategy
2612,Hermione Granger,You foul loathsome evil little cockroach!,social dynamics
405,Hermione Granger,It was standing on a trap door... guarding something.,strategy
2837,Hermione Granger,Harry it's his mark.,threats
1271,Hermione Granger,You hear a voice... then Mrs. Norris ends up Petrified.,strategy
2923,Hermione Granger,Dumbledore couldn't be fooled by an age potion.,strategy
1319,Hermione Granger,Let's go.,strategy
515,Hermione Granger,Leave it to me.,strategy
7432,Hermione Granger,Don't forget to give Professor Longbottom our best.,social dynamics
2009,Hermione Granger,Everywhere else is full.,strategy
2203,Hermione Granger,An Animagus elects to transform...,magic
