Dialogue ID,Character Name,Dialogue,Topic
5901,Ron Weasley,"Don't tell her I said that. Besides, you've still got the Trace on you.  And there's the wedding...",magic
6140,Ron Weasley,They're not Ministry.  They're Snatchers.  They hunt Muggle-borns and blood-traitors for a price.,threats
1741,Ron Weasley,Harry! Harry!,social dynamics
2143,Ron Weasley,Riddikulus!,magic
6826,Ron Weasley,"Couldn't do anything about that bit in the back that's always flipping up, could you? Dead annoying --",social dynamics
637,Ron Weasley,We know about the Philosopher's Stone!,strategy
2814,Ron Weasley,Krum!!!,social dynamics
4876,Ron Weasley,Don' you worry.  He'll be 'long soon 'nuff --,social dynamics
6255,Ron Weasley,"Seems strange, mate.  Dumbledore sends you off to find a load of Horcruxes, but doesn't bother to tell you how to destroy them. Doesn't that bother you?",strategy
5924,Ron Weasley,Dunno.  But something tells me he didn't come to give away the bride.,threats
6791,Ron Weasley,You heard Ollivander. It's Harry's now.,magic
6204,Ron Weasley,"Mary.  Go home.  Get the kids. I'll... I'll meet you there.  We have to get out the country, understand?",threats
2037,Ron Weasley,"No. I felt weird, though. Like I'd never be cheerful again.",social dynamics
3203,Ron Weasley,Because nobody asked her. I would have taken her myself if she weren't so bleeding proud.,social dynamics
3666,Ron Weasley,What does he get a hug for?,social dynamics
472,Ron Weasley,"Take a bit of toast, mate, go on.",social dynamics
2429,Ron Weasley,"Hermione, no! He's not worth it.",social dynamics
1861,Ron Weasley,"Uhh-um Welcome back, Hermione.",social dynamics
3187,Ron Weasley,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.,social dynamics
618,Ron Weasley,"-for his discovery of the 12 uses of Dragon Blood, and his work on alchemy with his partner Nicolas Flamel!",magic
2167,Ron Weasley,Serves her right. She was a terrible singer.,social dynamics
6008,Ron Weasley,"They were after you, mate.  We'd just put everyone in danger going back.",threats
4883,Ron Weasley,"Sorting Hat urged us all to be brave and strong in these troubled times -- easy for it to say -- it's a hat, isn't it?  First Years seemed to enjoy it, though. Wankers. Filch give you the wand outside?",hogwarts academics
7382,Ron Weasley,He saved your life.,social dynamics
5232,Ron Weasley,"No, you don't understand -- Oh, bloody hell...",social dynamics
5929,Ron Weasley,Dumbledore?  And me?  I dunno. I reckon I was just another Weasley to him.  He was always polite --,social dynamics
1294,Ron Weasley,"Of course. You heard him! 'You'll be next Mudbloods,'",threats
5734,Ron Weasley,C'mon.  Mum's got dinner ready.,social dynamics
3201,Ron Weasley,"Hermione of course. Come on Harry, why'd you think she wouldn't tell us who she's coming with?",social dynamics
6719,Ron Weasley,Expellliarmus!,magic
1696,Ron Weasley,Her skeleton will lie in the chamber forever.' Ginny,threats
4800,Ron Weasley,But I'm your brother!,social dynamics
1517,Ron Weasley,Look at your tail!,magical creatures
2073,Ron Weasley,Ancient Runes? Exactly how many classes are you taking?,hogwarts academics
4026,Ron Weasley,So...no giants are coming?,magical creatures
1685,Ron Weasley,Moaning Myrtle.,magical creatures
4995,Ron Weasley,"Really?  Strapping guy like you, you've got a Beater's build, don't you think?  Keeper needs to be agile, quick --",strategy
2162,Ron Weasley,Probably Neville forgotten the password again.,hogwarts academics
1671,Ron Weasley,"Follow the spiders! Follow the spiders! If Hagrid ever gets out of Azkaban, I'll kill him! I mean, what was the point of sending us in there? What have we found out?",strategy
2219,Ron Weasley,"Well, you fell off your broom.",magic
5093,Ron Weasley,What do you suppose Dean sees in her?  Ginny.,social dynamics
3197,Ron Weasley,I smell like my great aunt Tessie. Murder me Harry.,social dynamics
2473,Ron Weasley,"Scabbers, you bit me!",magical creatures
6794,Ron Weasley,"How will we know what it is when we get in there? After all, a Horcrux can be anything.",strategy
1292,Ron Weasley,Let's think. Who do we know who thinks all Muggle-borns are scum?,strategy
6686,Ron Weasley,What are we gonna do? We can't leave Hermione alone with her.,strategy
4115,Ron Weasley,But why the Department of Mysteries?,strategy
2043,Ron Weasley,"Shove off, Malfoy.",social dynamics
2827,Ron Weasley,Been looking for you for ages. Thought we lost you.,social dynamics
6528,Ron Weasley,"I could feel it inside me.  It was warm, like the first sip of a good cup of tea.  And I knew it would take me where I needed to go.",magic
588,Ron Weasley,"That's me! Only, I'm head boy...and I'm holding the Quidditch cup! And bloody hell, I'm Quidditch Captain too! I look good. Harry, do you think this mirror shows the future?",magic
2372,Ron Weasley,Spiders! There's... There's spiders. Spiders. They want me to tap-dance. I don't wanna tap-dance!,magical creatures
6349,Ron Weasley,"Fine.  I get it.  I saw you two the other night.  Yeah, that's right.  Didn't know I knew, did you?",social dynamics
704,Ron Weasley,And to think I've been worrying about my Potions final.,hogwarts academics
1472,Ron Weasley,Uh Harry?,social dynamics
4770,Ron Weasley,A hundred and fifty.  Give or take a few years.,strategy
394,Ron Weasley,Alohomora?,magic
3128,Ron Weasley,Ginny these must be for you.,social dynamics
6525,Ron Weasley,So I took this and I clicked it and this tiny ball of light appeared.  And I knew.,magic
203,Ron Weasley,Scar...?,threats
2111,Ron Weasley,"Listen to the idiot. He's really laying it on thick, isn't he?",social dynamics
759,Ron Weasley,"Kill us faster?! Oh, now I can relax!",threats
1455,Ron Weasley,Whose hair are you ripping out then?,strategy
7215,Ron Weasley,He's gone. The snake too.,threats
