Dialogue ID,Dialogue,Character Name
222,Has anyone seen a toad? A boy named Neville's lost one.,Hermione Granger
224,"Oh, are you doing magic? Let's see then.",Hermione Granger
226,"Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?",Hermione Granger
228,"Pleasure. You two better change into your robes. I expect we'll be arriving soon.  You've got dirt, on your nose, by the way, did you know? Just there.",Hermione Granger
241,"It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History.",Hermione Granger
245,"Oh, no. Okay, relax.",Hermione Granger
282,Nearly headless? How can you be nearly headless?,Hermione Granger
317,"I've read about those. When the smoke turns red,  it means you've forgotten something.",Hermione Granger
327,Up. Up. Up. Up.,Hermione Granger
353,"Harry, no way! You heard what Madam Hooch said! Besides, you don't even know how to fly.  What an idiot.",Hermione Granger
375,You won't make a fool of yourself. It's in your blood.,Hermione Granger
382,"The staircases change, remember?",Hermione Granger
386,We're not supposed to be here. This is the 3rd floor. It's forbidden.,Hermione Granger
393,"Oh, move over!  Alohomora.  Get in.",Hermione Granger
395,"Standard book of spells, Chapter 7.",Hermione Granger
397,Filch is gone.,Hermione Granger
399,It was locked.,Hermione Granger
403,"You don't use your eyes, do you? Didn't you see what it was standing on?",Hermione Granger
405,It was standing on a trap door. Which means it wasn't there by accident. It's guarding something.,Hermione Granger
407,"That's right. Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed... or worse, expelled!",Hermione Granger
424,"Stop, stop, stop. You're going to take someone's eye out. Besides, you're saying it wrong. It's Levi-o-sa, not Leviosar.",Hermione Granger
426,Wingardium Leviosa.,Hermione Granger
447,Help! Help!,Hermione Granger
449,Ahhh! Help!,Hermione Granger
456,Swish and flick!,Hermione Granger
458,Is it...dead?,Hermione Granger
463,"It's my fault, Professor McGonagall.",Hermione Granger
465,I went looking for the troll. I'd read about them and thought I could handle it. But I was wrong. If Harry and Ron hadn't come and found me...I'd probably be dead.,Hermione Granger
