Dialogue ID,Character Name,Dialogue
1,Albus Dumbledore,I should have known that you would be here...Professor McGonagall.
2,Minerva McGonagall,"Good evening, Professor Dumbledore. Are the rumours true, Albus?"
3,Albus Dumbledore,"I'm afraid so, Professor. The good, and the bad."
4,Minerva McGonagall,And the boy?
5,Albus Dumbledore,Hagrid is bringing him.
6,Minerva McGonagall,Do you think it wise to trust Hagrid with something as important as this?
7,Albus Dumbledore,"Ah, Professor, I would trust Hagrid with my life."
8,Rubeus Hagrid,"Professor Dumbledore, Sir. Professor McGonagall."
9,Albus Dumbledore,"No problems, I trust, Hagrid?"
10,Rubeus Hagrid,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
11,Minerva McGonagall,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are..."
12,Albus Dumbledore,The only family he has.
13,Minerva McGonagall,This boy will be famous. There won't be a child in our world who doesn't know his name.
14,Albus Dumbledore,Exactly. He's better off growing up away from all that. Until he is ready.
15,Albus Dumbledore,"There, there, Hagrid. It's not really goodbye, after all."
16,Albus Dumbledore,Good luck...Harry Potter.
17,Petunia Dursley,Up. Get up.  Now!
18,Dudley Dursley,"Wake up, cousin! We're going to the zoo!"
19,Petunia Dursley,"Oh, here he comes, the birthday boy!"
20,Vernon Dursley,"Happy birthday, son."
21,Petunia Dursley,"Why don't you just cook the breakfast, and try not to burn anything."
22,Harry Potter,"Yes, Aunt Petunia."
23,Petunia Dursley,I want everything to be perfect for my Dudley's special day.
24,Vernon Dursley,"Hurry up! Bring my coffee, boy!"
25,Harry Potter,"Yes, Uncle Vernon."
26,Petunia Dursley,"Aren't they wonderful, darling?"
27,Dudley Dursley,How many are there?
28,Vernon Dursley,Thirty-six. Counted 'em myself.
29,Dudley Dursley,Thirty-six?! But last year last year I had thirty-seven!!
30,Vernon Dursley,"Err yes, well, some of them are quite a bit bigger than last year."
31,Dudley Dursley,I don't care how big they are!
32,Petunia Dursley,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
33,Petunia Dursley,This will be a lovely day at the zoo. I'm really looking forward to it.
34,Vernon Dursley,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
35,Dudley Dursley,Make it move.
36,Vernon Dursley,Move!
37,Dudley Dursley,MOVE!
38,Harry Potter,He's asleep!
39,Dudley Dursley,He's boring.
40,Harry Potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either."
41,Dudley Dursley,"Mummy, dad, come here! You won't believe what this snake is doing!"
42,Dudley Dursley,Whoa! Ahh! Ahh!!
43,Student,Thanks.
44,Harry Potter,Anytime.
45,Man,SNAKE!
46,Dudley Dursley,"Mum, mummy!"
47,Petunia Dursley,AHH!
48,Dudley Dursley,"Mum, help! Help me!"
49,Petunia Dursley,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!"
50,Petunia Dursley,It's all right. It's all right.
51,Harry Potter,Ow!
52,Vernon Dursley,What happened?!
53,Harry Potter,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!"
54,Vernon Dursley,There's no such thing as magic!
55,Petunia Dursley,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings."
56,Vernon Dursley,Caveat Smeltona. Proudest moment of my life.
57,Harry Potter,"Will I have to wear that, too?"
58,Petunia Dursley,"What, you? Go to Smeltings?"
59,Vernon Dursley,Ha!
60,Petunia Dursley,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it."
61,Harry Potter,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.
62,Petunia Dursley,It'll fit you well enough. Go get the post.  Go!
63,Vernon Dursley,"Oh, Marge is ill! Ate a funny whelk."
64,Dudley Dursley,Dad! Look! Harry's got a letter!
65,Harry Potter,"Hey, give it back! It's mine!"
66,Vernon Dursley,Yours? Who'd be writing to you?
67,Vernon Dursley,No more mail through this letterbox.
68,Petunia Dursley,"Have a lovely day at the office, dear."
69,Vernon Dursley,Shoo! Go on!
70,Vernon Dursley,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?"
71,Harry Potter,Because there's no post on Sunday?
72,Vernon Dursley,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-"
73,Dudley Dursley,AHH! Make it stop! Please make it stop!
74,Vernon Dursley,"Go away, ahh!"
75,Dudley Dursley,What is it? Please tell me what's happening!
76,Vernon Dursley,Give me that! Give me that letter!
77,Harry Potter,Get off! Ahh!
78,Vernon Dursley,Ahh!
79,Harry Potter,They're my letters! Let go of me!
80,Vernon Dursley,That's it! We're going away! Far away! Where they can't find us!
81,Dudley Dursley,"Daddy's gone mad, hasn't he?!"
82,Harry Potter,"Make a wish, Harry."
83,Vernon Dursley,Who's there? Ahh!
84,Rubeus Hagrid,Sorry 'bout that.
85,Vernon Dursley,"I demand that you leave at once, sir! You are breaking and entering!"
86,Rubeus Hagrid,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
87,Dudley Dursley,I-I-I'm not Harry.
88,Harry Potter,I-I am.
89,Rubeus Hagrid,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh."
90,Harry Potter,Thank you!
91,Rubeus Hagrid,"It's not every day that your young man turns eleven, now is it?"
92,Harry Potter,"Excuse me, who are you?"
93,Rubeus Hagrid,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts."
94,Harry Potter,"Sorry, no."
95,Rubeus Hagrid,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
96,Harry Potter,Learned what?
97,Rubeus Hagrid,"You're a wizard, Harry."
98,Harry Potter,I-I'm a what?
99,Rubeus Hagrid,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little."
100,Harry Potter,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
101,Rubeus Hagrid,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah."
102,Harry Potter,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry."
103,Vernon Dursley,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!"
104,Harry Potter,You knew? You knew all along and you never told me?
105,Petunia Dursley,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you."
106,Harry Potter,Blown up? You told me my parents died in a car crash!
107,Rubeus Hagrid,A car crash? A car crash kill James and Lily Potter?
108,Petunia Dursley,We had to tell him something.
109,Rubeus Hagrid,It's an outrage! It's a scandal!
110,Vernon Dursley,He'll not be going!
111,Rubeus Hagrid,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
112,Harry Potter,Muggle?
113,Rubeus Hagrid,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore."
114,Vernon Dursley,I will not pay for some crackpot old fool to teach him magic tricks!
115,Rubeus Hagrid,"Never, insult Albus Dumbledore, in front of me."
116,Dudley Dursley,Ahh!
117,Rubeus Hagrid,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic."
118,Harry Potter,Okay.
119,Rubeus Hagrid,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?"
120,Harry Potter,"First year students will require: three sets of work robes, one wand."
121,Rubeus Hagrid,"Essential bit of equipment, Harry."
122,Harry Potter,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?"
123,Rubeus Hagrid,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon."
124,Harry Potter,But you like a dragon?
125,Rubeus Hagrid,"Fast and misunderstood beasts, Harry. Fast and misunderstood."
126,Harry Potter,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?"
127,Rubeus Hagrid,If you know where to go.
128,Tom,"Ah, Hagrid! The usual, I presume?"
129,Rubeus Hagrid,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies."
130,Tom,Bless my soul. It's Harry Potter.
131,Man,"Welcome back, Mr. Potter, welcome back."
132,Goblin,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last."
133,Quirinus Quirrell,Harry P-potter. C-can't tell you how pleased I am to meet you.
134,Rubeus Hagrid,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts."
135,Harry Potter,"Oh, nice to meet you."
136,Quirinus Quirrell,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh."
137,Rubeus Hagrid,"Yes, well, must be going now. Lots to buy. Heh."
